tweet_id,sentiment,author,content
1956967341,0,xoshayzers,know listenin bad habit earlier started freakin part =[
1956967666,1,wannamama,n bed headache
1956967696,3,coolfunky,
1956967789,2,czareaquino,wants hang friends
1956968416,2,xkilljoyx,want trade someone
1956968477,2,xxxPEACHESxxx,go bf like friends
1956968487,3,ShansBee,im thinking old friend married wants
1956968636,3,mcsleazy,
1956969035,2,nic0lepaula,miss
1956969172,1,Ingenue_Em,sorry least
1956969456,1,feinyheiny,cant fall asleep
1956969531,3,dudeitsmanda,retainers
1956970047,1,Danied32,beat stupid song get next
1956970424,1,Samm_xo,u watch hills london u realise weeks weeks late watch
1956970860,3,okiepeanut93,news
1956971077,1,Sim_34,storm electricity gone
1956971170,3,poppygallico,agreed
1956971206,1,brokenangel1982,sleepy even fail
1956971473,3,LCJ82,lady gaga tweeted impressed video know
1956971586,1,cleepow,convinced always wanted give think lost another friend
1956971981,1,andreagauster,oh hope gets sleep issues lately
1956972097,1,schiz0phren1c,awake new evil secret plots damn secret anymore
1956972116,3,jansc,talks online
1956972270,2,sweet8181,ate know keep things food
1956972359,1,xamountoftruth,tired think definitely going get ear going bed
1956972444,1,jomama6881,way home n deal w underage girls drinking gin da bus talking bout feel old
1956972557,1,LilithGaea,sorry people rude get manners know better
1956972884,1,oONEPTUNEOo,servers still need hit pass
1956973598,0,username_origin,whole hate time
1956973690,3,catchtheapple,
1956974706,1,MavrickAces,annoying starts typing computer middle
1956975441,1,LovableKeKe,cant sleep
1956975860,1,analalalah,missed
1956975876,1,jubaldo,feels strong wants go
1956975927,3,mikhaelaela,maybe not tomorrow
1956976187,3,ivoflipse5,
1956976312,1,amy__xx,yeah :S feel funny cause slept enough woke mum cause singing impressed :S
1956976371,1,babyxj,need right
1956976557,3,JanBenn,work afternoon
1956976681,1,HarryHarley,would unfollow would would cry
1956977084,2,ktierson,mmm much better still quite last day
1956977187,2,diNGUYEN31,first twitter ;) cause amazing come canada would anything see perform
1956977618,3,MDD113,picked middle
1956977624,1,alexsnaps,feeling packing hitting around time think missing
1956978276,1,Aggie9,middle school schools remain open need credits broken
1956978410,1,TannerMade,hope go school though feel well right
1956978668,1,bryancheung,hoping could learn stuff work separate things also
1956979150,1,rionne,problem photo twitter see
1956979437,1,shenamygans,oh blow tire going send batman
1956979756,3,ryarellano,take
1956979894,3,lookitsholly,milk much better lack said straw
1956979900,3,a_schmel,
1956979917,2,Dreness023,hey yu lil fucker yu
1956980788,1,nathaliep,time diff wrapped day day stuff havent talk
1956980883,1,hollywoods500,damn sucks
1956980972,1,syl3nt,sucks able take days work money take trip sad
1956981427,1,Caillie,today sara strep thought shared water told prob get
1956981850,3,robuttley,hotel accounts adds bit pressure short term cope
1956982075,3,minamic,got
1956982383,1,Ameeee,upwards sad leave
1956982449,1,DawnofOURnight,poor still gets
1956982576,1,kShadhavar,diesel sad available
1956982605,2,Diyeni,want buy great album unfortunately dont hav enuff funds time
1956983160,3,crittyjoy,
1956983171,1,paulyum,passengers alive dead know til end cry
1956983467,3,njc87,home alone much
1956983509,2,heyitsmisti,ia really happy cooks choices
1956983690,1,Trishalove,fell asleep beach put enough sunscreen lol
1956983851,1,sweetkisses277,think son might flu cause cleaned stanky puke mess
1956983874,1,joia,great see cute little bad got sick
1956983931,1,MunkyMunch,cant give bday
1956984185,2,HarryLyme,woman transfer first impressions onto less man weak
1956984205,2,chicabajoelsol,opening weekend buy enjoy watch
1956984559,1,Marielii,says miss
1956984864,3,Amantou,blood way rabies shots wash cats home hate water
1956984894,1,Chai_Bo,miss
1956985129,3,Cookphotos,
1956985535,2,quarrygirl,favorite sandwich place ummm take
1956985612,1,juliehuang,sad shin got alex
1956985758,3,jazz_angela,tweet news abuzz leaving
1956985764,1,Samm_xo,ohh thursday exams day wednesday
1956985973,1,ssabz,mix dentist appt rescheduled tomorrow
1956986211,1,metaphysical1,thinking excited guys realized sad see
1956986359,2,bittenbyte,goooood mooorning sun out spring first spring hail car dimples now
1956986767,2,AshLaws,love
1956987381,3,supkeke,fresh prince sleepy sleeps nightly routine go early tmrw
1956987600,1,naterkane,hulu desktop totally screwed ability talk particular port dev watch code
1956987828,1,palomalopes24,jealous mom talking want see twittering making miss
1956987904,1,creativevixen86,keep thinking puppy played today
1956987950,1,smiles4dayyz,got much got part song stuck head jerk
1956988145,3,padfootly,going
1956988218,1,callatya,freaking difficult get settle office suite
1956988223,1,kabilan,month due strawberry
1956988477,3,enlightenthem,work go bed soon
1956989093,1,Angela_Grace,put arm cuz better
1956989514,1,yellowduckx,hiii im cant fall asleep
1956989526,1,KaKuBby,dont work tomorrow get paid
1956989560,1,benchidol,feels sad coz wasnt able play
1956989561,3,outrAjusCharmer,
1956989601,1,M0anique,cayogial wanted come summer :/ sure life summer
1956989914,1,Fowl2,ever dropped call call charged data even though data pack
1956990288,3,MissPassion,win
1956990413,1,Wendywitwoo,time
1956990568,1,sarah_walter,like time year never used problem either
1956990729,3,marpizza,minute well
1956991009,1,rdyfrde,sucks
1956991673,1,M0anique,wanted come summer :/ sure life summer
1956991704,1,Tweetyangie,opened windows kept
1956991723,1,briwyatt,big scary bug flying around
1956992030,0,mafiaman8108,wish knew puts stole never gave occasionally likes like look
1956992144,1,Margotkay,nasty cough cant sick huge weekend ahead
1956992349,1,jarekpastor,stone cold
1956993007,1,villa_ld,tired
1956993080,1,cheiyinkeithsui,shift time
1956993206,1,dashdragan,sure some cum workin til
1956994067,1,lockerhaxor,second wish rained
1956995196,2,jnvelasquez912,early happy day birth case make tired therapy today n taking
1956995505,1,twakatovsrocks,damn anyone else need hair played
1956995679,1,jmil1733,feel
1956995762,1,foxtail84,suck ducks
1956995852,2,ErikaAlexxis,almost good tomorrow
1956996081,3,snursalim,waraku
1956996385,3,votech,sounds week still offline ask
1956996470,3,ohmygoshnina,read
1956996673,3,Merekdavis,
1956996730,3,Rowch,wonders points turned
1956996765,2,rarmendariz,pack glass wine order celebrate weekend work
1956996776,1,KitaCupcake,miserable feel like im gona cry
1956997143,1,louiethecat,well ran beer sure waiting long nite
1956997352,1,1azylizzie,nose stud fell find like head today get new
1956997619,2,kudosbeauty,claire love got office am radio
1956998370,2,rockinchick11,philly am love boyfriend love
1956998532,1,katienaas,sigh going feel right
1956998538,2,jeannicole,focused much see beloved must vote president
1956998698,0,FoOie,tourists only
1956998704,1,sillynic,depressed watching think dance
1957000040,1,minauderie,cross stuck thumbs ugh
1957000077,1,danzjoe,miss
1957000152,3,RoxieDax,like idea long takes investigate
1957000290,1,Ohtybaby,cant im sore move
1957000314,1,Phenikone,miss baby
1957000336,1,Gen22,answered never learned write basic
1957000372,3,cv70,never say
1957000788,1,zpavic,new appreciation xml build script really painful
1957001049,3,amy__xx,awake ill nap afternoon
1957001370,1,katlovesjoelk,cant anything
1957001496,1,miss_sammi,still needs another hours sleep
1957001506,3,benmfowler,work
1957001854,2,Samiijoo,great mini fiddler crab
1957001967,3,mozwold,early
1957002082,1,V0NST3V3,day working sad times
1957002773,1,UncoolRockstar,thanks soooo close yet far
1957002923,1,indpndentgirly,head hurts bad could
1957003048,1,rianne_kelsey,go broken somewhere im even pain
1957003356,3,nettlej,work challenge going committed check email pm am first
1957003440,1,autotips,blog auto found auto insurance policy careless
1957003715,2,BlaqueBeautyy,wat
1957004184,2,rionne,oh really see
1957004519,1,asteinke,showing tags last went insurance renewal email went old
1957004606,3,riannasc,sole supporter sole supporter
1957004749,1,golden_one,hate finish work still hours left work time
1957005165,2,RebeccaBrunner,urgh stop guys
1957005226,1,GiselleLee,still missing really want
1957005279,1,PYTDavis,miss puppy
1957005410,1,HIM357,days month left
1957005696,2,nickhalme,get looks
1957005713,1,smilyross,given pizza kids would never let hot
1957005817,2,JBabyLove,reading tabloids mine baby
1957006033,1,klybob,pet home sad whole family
1957006074,2,rnbprincess79,fun sun hmmm hell cold
1957006098,1,puelladei,got giant stuck underneath finger nail today got go first
1957006245,2,bella_facia,hate fans met something went horribly
1957006307,1,ninz_0214,feeling reason
1957006547,1,spookychan,well new pain med odd warning actually applies take
1957006674,1,nel5on,uploaded new painful story s year old man cried wanted sad
1957006725,1,andrewjennings,think
1957006830,3,AddITame,
1957006947,1,miiiiiiike,kind curse night time feel like making music afterwards
1957007167,1,Dillontate,last tweet send bad phone
1957007268,1,EmaMolly,day gone sooo slow going insane anything
1957007357,1,_SNO_,headache going
