tweet_id,sentiment,author,content
1956967341,3,xoshayzers,know listenin bad habit earlier started freakin part =[
1956967666,1,wannamama,n bed headache
1956967696,1,coolfunky,
1956967789,3,czareaquino,wants hang friends
1956968416,3,xkilljoyx,want trade someone
1956968477,1,xxxPEACHESxxx,go bf like friends
1956968487,1,ShansBee,im thinking old friend married wants
1956968636,1,mcsleazy,
1956969035,1,nic0lepaula,miss
1956969172,1,Ingenue_Em,sorry least
1956969456,3,feinyheiny,cant fall asleep
1956969531,1,dudeitsmanda,retainers
1956970047,1,Danied32,beat stupid song get next
1956970424,1,Samm_xo,u watch hills london u realise weeks weeks late watch
1956970860,0,okiepeanut93,news
1956971077,1,Sim_34,storm electricity gone
1956971170,2,poppygallico,agreed
1956971206,1,brokenangel1982,sleepy even fail
1956971473,1,LCJ82,lady gaga tweeted impressed video know
1956971586,1,cleepow,convinced always wanted give think lost another friend
1956971981,1,andreagauster,oh hope gets sleep issues lately
1956972097,2,schiz0phren1c,awake new evil secret plots damn secret anymore
1956972116,3,jansc,talks online
1956972270,1,sweet8181,ate know keep things food
1956972359,1,xamountoftruth,tired think definitely going get ear going bed
1956972444,1,jomama6881,way home n deal w underage girls drinking gin da bus talking bout feel old
1956972557,1,LilithGaea,sorry people rude get manners know better
1956972884,1,oONEPTUNEOo,servers still need hit pass
1956973598,1,username_origin,whole hate time
1956973690,1,catchtheapple,
1956974706,0,MavrickAces,annoying starts typing computer middle
1956975441,3,LovableKeKe,cant sleep
1956975860,3,analalalah,missed
1956975876,3,jubaldo,feels strong wants go
1956975927,3,mikhaelaela,maybe not tomorrow
1956976187,3,ivoflipse5,
1956976312,1,amy__xx,yeah :S feel funny cause slept enough woke mum cause singing impressed :S
1956976371,1,babyxj,need right
1956976557,3,JanBenn,work afternoon
1956976681,3,HarryHarley,would unfollow would would cry
1956977084,2,ktierson,mmm much better still quite last day
1956977187,2,diNGUYEN31,first twitter ;) cause amazing come canada would anything see perform
1956977618,1,MDD113,picked middle
1956977624,1,alexsnaps,feeling packing hitting around time think missing
1956978276,3,Aggie9,middle school schools remain open need credits broken
1956978410,1,TannerMade,hope go school though feel well right
1956978668,1,bryancheung,hoping could learn stuff work separate things also
1956979150,1,rionne,problem photo twitter see
1956979437,3,shenamygans,oh blow tire going send batman
1956979756,3,ryarellano,take
1956979894,3,lookitsholly,milk much better lack said straw
1956979900,1,a_schmel,
1956979917,3,Dreness023,hey yu lil fucker yu
1956980788,3,nathaliep,time diff wrapped day day stuff havent talk
1956980883,3,hollywoods500,damn sucks
1956980972,1,syl3nt,sucks able take days work money take trip sad
1956981427,3,Caillie,today sara strep thought shared water told prob get
1956981850,3,robuttley,hotel accounts adds bit pressure short term cope
1956982075,3,minamic,got
1956982383,1,Ameeee,upwards sad leave
1956982449,1,DawnofOURnight,poor still gets
1956982576,1,kShadhavar,diesel sad available
1956982605,1,Diyeni,want buy great album unfortunately dont hav enuff funds time
1956983160,1,crittyjoy,
1956983171,1,paulyum,passengers alive dead know til end cry
1956983467,3,njc87,home alone much
